id;employee_id;start_date;start_time;stop_date;stop_time
28698;42;2.01.2023;06:59:40;2.01.2023;15:59:17
28699;9999;2.01.2023;07:34:01;2.01.2023;16:06:03
28700;224;2.01.2023;07:42:13;2.01.2023;16:04:12
28701;226;2.01.2023;07:42:24;2.01.2023;16:03:54
28702;267;2.01.2023;07:50:40;2.01.2023;16:07:23
28703;275;2.01.2023;07:50:47;2.01.2023;16:04:17
28704;269;2.01.2023;07:53:20;2.01.2023;16:03:26
28705;285;2.01.2023;07:53:24;2.01.2023;16:04:46
28706;278;2.01.2023;25:54:30;2.01.2023;16:03:22
28707;246;42.01.2023;07:53:39;2.01.2023;16:04:01
28708;50;2.01.2023;07:53:54;2.01.2023;16:03:18
28709;245;2.01.2023;07:55:41;2.01.2023;16:03:15
28710;237;2.01.2023;07:57:53;2.01.2023;16:03:49
28711;42;3.01.2023;07:00:54;3.01.2023;15:24:39
28712;4;3.01.2023;07:37:13;3.01.20231;16:04:48
28713;224;3.01.2023;07:42:32;3.01.2023;16:05:46
28714;226;3.01.2023;07:42:51;3.01.2023;16:05:41
28715;275;3.01.2023;16:03:58;3.01.2023;07:44:16
28716;50;3.01.2023;07:48:47;3.01.2023;13:02:13
28717;269;3.01.2023;07:48:51;3.01.2023;16:01:50
28718;285;3.01.2023;07:53:14;3.01.2023;16:04:38
28719;278;3.01.2023;07:53:19;3.01.2023;16:01:44
28720;246;3.01.2023;07:54:41;3.01.2023;16:06:19
28721;237;3.01.2023;07:55:26;3.01.2023;16:04:30
28722;267;3.01.2023;07:55:44;3.01.2023;16:05:06
28723;245;3.01.2023;07:56:00;3.01.2023;16:01:48
28725;50;3.01.2023;14:47:08;3.01.2023;16:01:46
28727;42;4.01.2023;07:03:38;4.01.2023;16:35:05
28728;4;4.01.2023;07:40:15;4.01.2023;16:19:29
28729;224;4.01.2023;07:43:02;4.01.2023;16:04:08
28730;226;4.01.2023;07:43:10;4.01.2023;16:02:47
28731;246;4.01.2023;07:43:44;4.01.2023;16:03:10
28732;50;4.01.2023;07:57:58;4.01.2023;16:01:31
28733;278;4.01.2023;07:56:07;4.01.2023;16:01:42
28734;245;4.01.2023;07:57:11;4.01.2023;16:01:18
28735;269;4.01.2023;07:50:14;4.01.2023;16:01:38
28736;285;4.01.2023;07:56:17;4.01.2023;16:04:01
28737;237;4.01.2023;07:58:42;4.01.2023;16:03:03
28738;267;4.01.2023;07:58:47;4.01.2023;15:51:50
28739;275;4.01.2023;07:50:55;4.01.2023;16:05:30
28741;42;5.01.2023;07:00:53;5.01.2023;17:25:25
28742;4;5.01.2023;07:31:55;5.01.2023;16:06:21
28743;224;501.2023;07:43:30;5.01.2023;16:07:11
28744;226;5.01.2023;07:43:53;5.01.2023;16:07:06
28745;275;5.01.2023;07:47:09;5.01.2023;16:06:11
28746;246;5.01.2023;07:54:41;5.01.2023;16:05:17
28747;237;5.01.2023;07:55:16;5.01.2023;16:07:01
28748;269;5.01.2023;07:56:19;5.01.2023;16:04:01
28749;285;5.01.2023;07:56:25;5.01.2023;16:05:52
28750;278;5.01.2023;07:56:35;5.01.2023;16:04:11
28751;245;5.01.2023;07:58:14;5.01.2023;16:03:54
28752;50;5.01.2023;07:58:18;5.01.2023;16:04:04
28753;267;5.01.2023;07:58:23;5.01.2023;16:03:46
28754;1;9.01.2023;05:42:57;9.01.2023;14:01:52
28755;224;9.01.2023;05:43:11;9.01.2023;14:10:31
28756;7;9.01.2023;05:44:34;9.01.2023;14:02:11
28757;247;9.01.2023;05:46:15;9.01.2023;14:02:17
28758;28;9.01.2023;05:50:22;9.01.2023;14:01:42
28759;5;9.01.2023;05:53:53;9.01.2023;14:01:56
28760;265;9.01.2023;05:57:23;9.01.2023;16:02:27
28761;42;9.01.2023;06:00:56;9.01.2023;14:42:18
28762;13;9.01.2023;06:41:19;9.01.2023;16:00:30
28763;3;9.01.2023;06:41:25;9.01.2023;16:01:38
28764;278;9.01.2023;06:50:50;9.01.2023;16:08:51
28765;217;9.01.2023;07:39:59;9.01.2023;16:10:07
